Instance,MS_GA,T_GA,MS_Tabu,T_Tabu,MS_GRASP,T_GRASP,MS_PLI,T_PLI
n25p1,130.23,0.109,130.23,0.02,130.23,0.03,130.23,0.04
n25p2,295.03,0.121,295.03,0.02,295.03,0.04,295.03,0.04
n25p3,219.29,0.143,219.29,0.04,219.29,0.05,219.29,0.11
n50p1,695.3,0.834,695.3,0.23,695.3,0.24,695.3,1.6
n50p2,604.28,0.939,604.28,0.6,604.28,0.44,604.28,9.96
n50p3,519.6,0.977,519.6,0.74,519.6,0.49,519.6,12.37
n100p1,1299.9,4.201,1299.9,8.64,1299.9,2.06,1291.9,600.02
n100p2,1818.5,6.882,1818.5,18.68,1818.5,5.18,1818.5,600.03
n100p3,1707.06,9.354,1705.63,17.76,1707.06,6.26,1699.02,600.03
n200p1,4935.83,15.286,4961.22,65.13,4961.22,19.4,4945.25,600.07
n200p2,4667.81,74.789,4663.4,178.7,4669.34,104.5,4429.1,600.08
n200p3,4921.11,134.006,4919.73,272.95,4957.67,176.96,4715.38,600.08
n400p1,10314.09,190.357,10478.36,1500.26,10488.0,359.63,9305.59,600.18
n400p2,13085.76,1169.309,13085.76,1805.02,13108.48,1802.27,6248.32,600.25
n400p3,12848.96,1387.963,11206.16,1892.84,12869.3,1800.77,6179.49,600.25
